9613000,322,SANSKRIT CORE,040,C2
9613000,002,HINDI ELECTIVE,042,D2
9613000,028,POLITICAL SCIENCE,006F,E
9613000,030,ECONOMICS,006F,E
9613000,039,SOCIOLOGY,033FT,E
9613000,500,WORK EXPERIENCE,---,A2
9613000,502,PHY & HEALTH EDUCA,---,B1
9613000,503,GENERAL STUDIES,---,A2
9613000,Additional Subject
9613000,048,PHYSICAL EDUCATION,037 FT,E
9613000,"",Result: FAIL,"",""
9613001,301,ENGLISH CORE,033,D2
9613001,002,HINDI ELECTIVE,045,D1
9613001,028,POLITICAL SCIENCE,033,D2
9613001,039,SOCIOLOGY,045,D1
9613001,048,PHYSICAL EDUCATION,050,D2
9613001,500,WORK EXPERIENCE,---,D2
9613001,502,PHY & HEALTH EDUCA,---,D1
9613001,503,GENERAL STUDIES,---,D2
9613001,Additional Subject
9613001,030,ECONOMICS,007 F,E
9613001,"",Result: PASS,"",""
9613002,301,ENGLISH CORE,033,D2
9613002,030,ECONOMICS,033,D2
9613002,041,MATHEMATICS,010F,E
9613002,048,PHYSICAL EDUCATION,066,C2
9613002,055,ACCOUNTANCY,046,D1
9613002,500,WORK EXPERIENCE,---,A1
9613002,502,PHY & HEALTH EDUCA,---,A1
9613002,503,GENERAL STUDIES,---,A1
9613002,Additional Subject
9613002,054,BUSINESS STUDIES,017 FT,E
9613002,"",Result: COMP,"",""
9613003,301,ENGLISH CORE,043,D1
9613003,030,ECONOMICS,033,D2
9613003,041,MATHEMATICS,033,D2
9613003,054,BUSINESS STUDIES,045,D1
9613003,055,ACCOUNTANCY,046,D1
9613003,500,WORK EXPERIENCE,---,A2
9613003,502,PHY & HEALTH EDUCA,---,A1
9613003,503,GENERAL STUDIES,---,A1
9613003,Additional Subject
9613003,048,PHYSICAL EDUCATION,063,C2
9613003,"",Result: PASS,"",""
9613004,301,ENGLISH CORE,057,C2
9613004,030,ECONOMICS,061,B2
9613004,041,MATHEMATICS,049,C1
9613004,054,BUSINESS STUDIES,045,D1
9613004,055,ACCOUNTANCY,056,C1
9613004,500,WORK EXPERIENCE,---,C2
9613004,502,PHY & HEALTH EDUCA,---,C2
9613004,503,GENERAL STUDIES,---,C1
9613004,Additional Subject
9613004,048,PHYSICAL EDUCATION,060,D1
9613004,"",Result: PASS,"",""
9613005,301,ENGLISH CORE,033,D2
9613005,030,ECONOMICS,058,B2
9613005,041,MATHEMATICS,046,C2
9613005,054,BUSINESS STUDIES,048,D1
9613005,055,ACCOUNTANCY,054,C2
9613005,500,WORK EXPERIENCE,---,A1
9613005,502,PHY & HEALTH EDUCA,---,A1
9613005,503,GENERAL STUDIES,---,A1
9613005,Additional Subject
9613005,048,PHYSICAL EDUCATION,068,C1
9613005,"",Result: PASS,"",""
9613006,301,ENGLISH CORE,055,C2
9613006,030,ECONOMICS,076,A2
9613006,041,MATHEMATICS,072,B1
9613006,054,BUSINESS STUDIES,056,C2
9613006,055,ACCOUNTANCY,073,B1
9613006,500,WORK EXPERIENCE,---,A2
9613006,502,PHY & HEALTH EDUCA,---,A1
9613006,503,GENERAL STUDIES,---,A1
9613006,Additional Subject
9613006,048,PHYSICAL EDUCATION,068,C1
9613006,"",Result: PASS,"",""
9613007,301,ENGLISH CORE,045,D1
9613007,041,MATHEMATICS,033,D2
9613007,048,PHYSICAL EDUCATION,053,D2
9613007,054,BUSINESS STUDIES,039,D2
9613007,055,ACCOUNTANCY,027FT,E
9613007,500,WORK EXPERIENCE,---,C2
9613007,502,PHY & HEALTH EDUCA,---,C2
9613007,503,GENERAL STUDIES,---,C1
9613007,Additional Subject
9613007,030,ECONOMICS,008 F,E
9613007,"",Result: COMP,"",""
9613008,301,ENGLISH CORE,022F,E
9613008,030,ECONOMICS,017F,E
9613008,041,MATHEMATICS,008F,E
9613008,054,BUSINESS STUDIES,027FT,E
9613008,055,ACCOUNTANCY,024FT,E
9613008,500,WORK EXPERIENCE,---,B1
9613008,502,PHY & HEALTH EDUCA,---,B1
9613008,503,GENERAL STUDIES,---,B2
9613008,Additional Subject
9613008,048,PHYSICAL EDUCATION,061,D1
9613008,"",Result: FAIL,"",""
9613009,301,ENGLISH CORE,057,C2
9613009,030,ECONOMICS,074,A2
9613009,041,MATHEMATICS,034,D2
9613009,054,BUSINESS STUDIES,050,D1
9613009,055,ACCOUNTANCY,056,C1
9613009,500,WORK EXPERIENCE,---,A1
9613009,502,PHY & HEALTH EDUCA,---,A2
9613009,503,GENERAL STUDIES,---,A2
9613009,Additional Subject
9613009,048,PHYSICAL EDUCATION,074,B2
9613009,"",Result: PASS,"",""
9613010,301,ENGLISH CORE,062,C1
9613010,041,MATHEMATICS,033,D2
9613010,048,PHYSICAL EDUCATION,060,D1
9613010,054,BUSINESS STUDIES,039,D2
9613010,055,ACCOUNTANCY,044,D2
9613010,500,WORK EXPERIENCE,---,A2
9613010,502,PHY & HEALTH EDUCA,---,A2
9613010,503,GENERAL STUDIES,---,A2
9613010,Additional Subject
9613010,030,ECONOMICS,005 F,E
9613010,"",Result: PASS,"",""
9613011,301,ENGLISH CORE,018F,E
9613011,030,ECONOMICS,014F,E
9613011,041,MATHEMATICS,007F,E
9613011,054,BUSINESS STUDIES,015FT,E
9613011,055,ACCOUNTANCY,022FT,E
9613011,500,WORK EXPERIENCE,---,A1
9613011,502,PHY & HEALTH EDUCA,---,A2
9613011,503,GENERAL STUDIES,---,A2
9613011,Additional Subject
9613011,048,PHYSICAL EDUCATION,052,D2
9613011,"",Result: FAIL,"",""
9613012,301,ENGLISH CORE,015F,E
9613012,030,ECONOMICS,001F,E
9613012,041,MATHEMATICS,001F,E
9613012,054,BUSINESS STUDIES,011FT,E
9613012,055,ACCOUNTANCY,020FT,E
9613012,500,WORK EXPERIENCE,---,C2
9613012,502,PHY & HEALTH EDUCA,---,C2
9613012,503,GENERAL STUDIES,---,C1
9613012,Additional Subject
9613012,048,PHYSICAL EDUCATION,045 FT,E
9613012,"",Result: FAIL,"",""
9613013,301,ENGLISH CORE,070,B2
9613013,030,ECONOMICS,095,A1
9613013,041,MATHEMATICS,080,A2
9613013,054,BUSINESS STUDIES,069,B2
9613013,055,ACCOUNTANCY,081,A2
9613013,500,WORK EXPERIENCE,---,A2
9613013,502,PHY & HEALTH EDUCA,---,A1
9613013,503,GENERAL STUDIES,---,A1
9613013,Additional Subject
9613013,048,PHYSICAL EDUCATION,068,C1
9613013,"",Result: PASS,"",""
9613014,301,ENGLISH CORE,034,D2
9613014,030,ECONOMICS,009F,E
9613014,041,MATHEMATICS,010F,E
9613014,054,BUSINESS STUDIES,018FT,E
9613014,055,ACCOUNTANCY,028FT,E
9613014,500,WORK EXPERIENCE,---,C2
9613014,502,PHY & HEALTH EDUCA,---,C2
9613014,503,GENERAL STUDIES,---,C1
9613014,Additional Subject
9613014,048,PHYSICAL EDUCATION,066,C2
9613014,"",Result: FAIL,"",""
9613015,301,ENGLISH CORE,043,D1
9613015,030,ECONOMICS,033,D2
9613015,048,PHYSICAL EDUCATION,069,C1
