 subject | mean  | max |   n   
---------+-------+-----+-------
 FRE     | 49.36 |  64 |    14
 ECO     | 50.62 | 100 | 28137
 ORI     | 51.67 |  62 |     3
 TEL     | 52.96 |  92 |    98
 BST     | 53.14 |  99 |  4187
 CHI     | 55.00 |  66 |    13
 GEO     | 55.49 |  97 |  2821
 HIS     | 58.65 | 100 |  2810
 COM     | 59.80 | 100 | 25709
 SAN     | 60.00 |  60 |     1
 GUJ     | 60.62 |  90 |    79
 ACC     | 61.18 | 100 | 25831
 CHE     | 62.43 | 100 | 32691
 DZO     | 62.60 |  80 |    10
 PSC     | 63.94 | 100 |  3223
 PHY     | 64.84 | 100 | 32810
 GBD     | 65.10 |  80 |    10
 MAT     | 65.86 | 100 | 41520
 BIO     | 66.17 | 100 | 11812
 TIB     | 67.00 |  83 |    25
 EVS     | 68.05 | 100 |  1225
 MAN     | 69.00 |  69 |     1
 LIT     | 69.08 |  99 |   552
 EED     | 69.09 |  96 |   273
 NEP     | 69.89 |  97 |   891
 LUS     | 70.81 |  92 |    57
 ARB     | 72.20 |  83 |    15
 ENG     | 73.43 |  99 | 62540
 ELE     | 73.51 |  99 |    74
 FDS     | 73.51 |  94 |   196
 HOM     | 73.80 | 100 |   895
 SOC     | 74.94 | 100 |  1761
 GER     | 76.00 |  83 |     2
 BEN     | 76.08 |  95 |  6269
 PSY     | 76.15 | 100 |  1517
 URD     | 76.28 |  92 |    97
 ART     | 77.33 |  99 |  2001
 TAM     | 78.00 |  86 |     5
 IMC     | 79.00 |  90 |     3
 IMH     | 79.56 |  98 |   141
 CTS     | 80.20 | 100 | 16571
 KAN     | 81.63 |  90 |     8
 PUN     | 81.65 |  97 |   178
 MAL     | 82.13 |  98 |   500
 BTN     | 84.17 | 100 |   796
 HIN     | 85.46 |  99 | 20407
 PED     | 85.86 | 100 |  4670
 WMC     | 86.00 |  86 |     1
 THA     | 90.00 |  90 |     1
 GMD     | 97.88 | 100 |    96
(50 rows)

